Time,Monday,Tuesday,Wednesday,Thursday,Friday,,"Mark yourself availiable with 1 and not availiable with 0           

 If you can table from 10:00 til 11:00, only mark 10:00, 10:15, 10:30, 10:45, and 11:00      ",,
9:00 AM,1,1,1,1,1,,,,
9:15 AM,1,1,1,1,1,,,,
9:30 AM,1,1,1,1,1,,,,
9:45 AM,1,1,1,1,1,,,,
10:00 AM,1,0,0,0,0,,,,
10:15 AM,1,0,0,0,0,,,,
10:30 AM,1,0,0,0,0,,,,
10:45 AM,1,0,0,0,0,,,,
11:00 AM,1,1,1,1,1,,,,
11:15 AM,1,1,1,1,1,,,,
11:30 AM,1,1,1,1,1,,,,
11:45 AM,1,1,1,1,1,,,,
12:00 PM,1,1,1,1,1,,,,
12:15 PM,0,0,0,0,0,,,,
12:30 PM,0,0,0,0,0,,,,
12:45 PM,0,0,0,0,0,,,,
1:00 PM,0,0,0,0,0,,,,
1:15 PM,0,0,0,0,0,,,,
1:30 PM,0,0,0,0,0,,,,
1:45 PM,0,0,0,0,0,,,,
2:00 PM,1,1,0,1,1,,,,
2:15 PM,1,1,0,1,1,,,,
2:30 PM,1,1,0,1,1,,,,
2:45 PM,1,1,0,1,1,,,,
3:00 PM,1,1,0,1,1,,,,
3:15 PM,1,1,0,1,1,,,,
3:30 PM,1,0,0,0,1,,,,
3:45 PM,1,0,0,0,1,,,,
4:00 PM,1,0,0,0,1,,,,
4:15 PM,1,0,0,0,1,,,,
4:30 PM,1,0,0,0,1,,,,
4:45 PM,1,0,0,0,1,,,,
5:00 PM,1,1,1,1,1,,,,
5:15 PM,1,1,1,1,1,,,,
5:30 PM,1,1,1,1,1,,,,
5:45 PM,1,1,1,1,1,,,,
6:00 PM,1,1,1,1,1,,,,
6:15 PM,1,1,1,1,1,,,,
6:30 PM,1,1,1,1,1,,,,
6:45 PM,1,1,1,1,1,,,,
7:00 PM,1,1,1,1,1,,,,
